コンセプト（学習する文字）,ユニット,コンセプト属性：難易度,部首,コンセプト属性：画数,コンセプト属性：音読み,コンセプト属性：訓読み,コンセプト属性：,学年(漢検),漢検,学年
厳,漢字,N1,ツ,17,ゲン・ゴン,きび（しい）・おごそ（か）,,小学6年(5級),5級,小学6年
単,漢字,N3,ツ,9,タン,-,,小学4年(７級),7級,小学4年
巣,漢字,N1,ツ,11,ソウ,す,,小学4年(７級),7級,小学4年
装,漢字,N2,衣,12,ソウ・ショウ,よそお（い）,,小学6年(5級),5級,小学6年
裏,漢字,N2,衣,13,リ,うら,,小学6年(5級),5級,小学6年
補,漢字,N2,衣,12,ホ,おぎな（う）,,小学6年(5級),5級,小学6年
裁,漢字,N1,衣,12,サイ,さば（く）・た（つ）,,小学6年(5級),5級,小学6年
複,漢字,N2,衣,14,フク,-,,小学5年(６級),6級,小学5年
製,漢字,N1,衣,14,セイ,-,,小学5年(６級),6級,小学5年
衣,漢字,N2,衣,6,イ,ころも,,小学4年(７級),7級,小学4年
表,漢字,N3,衣,8,ヒョウ,おもて・あらわ（れる）,,小学3年(８級),8級,小学3年
袋,漢字,N2,衣,11,タイ,ふくろ,,,,
被,漢字,N2,衣,10,ヒ,こうむ(る),,,,
衰,漢字,N1,衣,10,スイ,おとろ(える),,,,
衷,漢字,N1,衣,10,チュウ,-,,,,
裂,漢字,N1,衣,12,レツ,さ(く)・さ(ける),,,,
裕,漢字,N1,衣,12,ユウ,-,,,,
裸,漢字,N1,衣,13,ラ,はだか,,,,
褐,漢字,N1,衣,13,カツ,-,,,,
褒,漢字,N1,衣,15,ホウ,ほ(める),,,,
襟,漢字,N1,衣,18,キン,えり,,,,
襲,漢字,N1,衣,22,シュウ,おそ(う),,,,
並,漢字,N2,一,8,ヘイ,なみ・なら（べる）,,小学6年(5級),5級,小学6年
不,漢字,N4 ,一,4,フ・ブ,-,,小学4年(７級),7級,小学4年
世,漢字,N4 ,一,5,セイ・セ,よ,,小学3年(８級),8級,小学3年
両,漢字,N3,一,6,リョウ,-,,小学3年(８級),8級,小学3年
丁,漢字,N1,一,2,チョウ,-,,小学3年(８級),8級,小学3年
万,漢字,N5 ,一,3,バン・マン,よろず,numbers,小学2年(９級),9級,小学2年
一,漢字,N5,一,1,イチ・イツ,ひと（つ）,numbers,小学1年 (１０級),10級,小学1年
三,漢字,N5 ,一,3,サン,みっ（つ）,numbers,小学1年 (１０級),10級,小学1年
七,漢字,N5 ,一,2,シチ,なな（つ）・なな,numbers,小学1年 (１０級),10級,小学1年
上,漢字,N5 ,一,3,ジョウ・ショウ,うえ・うわ・かみ・あ（げる）・のぼ（る）,position & direction,小学1年 (１０級),10級,小学1年
下,漢字,N5 ,一,3,カ・ゲ,した・くだ（る）・くだ（さる）・さ（がる）・しも・もと・お（りる）,position & direction,小学1年 (１０級),10級,小学1年
与,漢字,N3,一,3,ヨ,あた(える),verb,,,
且,漢字,N1,一,5,ショウ,かつ,,,,
丘,漢字,N1,一,5,キュウ,おか,,,,
丙,漢字,N1,一,5,ヘイ,-,,,,
翌,漢字,N2,羽,11,ヨク,-,,小学6年(5級),5級,小学6年
習,漢字,N4 ,羽,11,シュウ,なら（う）,verb,小学3年(８級),8級,小学3年
羽,漢字,N2,羽,6,ウ,は・はね,,小学2年(９級),9級,小学2年
翁,漢字,N1,羽,10,オウ,おきな,,,,
翻,漢字,N1,羽,18,ホン,ひるが(える)・ひるが(えす) ,,,,
翼,漢字,N1,羽,17,ヨク,つばさ,,,,
雪,漢字,N4 ,雨,11,セツ,ゆき,nature & weather,小学2年(９級),9級,小学2年
電,漢字,N5 ,雨,13,デン,-,transportation,小学2年(９級),9級,小学2年
雲,漢字,N3,雨,12,ウン,くも,,小学2年(９級),9級,小学2年
雨,漢字,N5 ,雨,8,ウ,あめ・あま,nature & weather,小学1年 (１０級),10級,小学1年
零,漢字,N2,雨,13,レイ,ぜろ・こぼ（れる）,,,,
震,漢字,N2,雨,15,シン,ふる(える),,,,
雰,漢字,N1,雨,12,フン,-,,,,
雷,漢字,N1,雨,13,ライ,かみなり,,,,
需,漢字,N1,雨,14,ジュ,-,,,,
霜,漢字,N1,雨,17,ソウ,しも,,,,
霧,漢字,N1,雨,19,ム,きり,,,,
露,漢字,N1,雨,21,ロ、ロウ,つゆ,,,,
興,漢字,N1,臼,16,コウ・キョウ,おこ（す）,,小学5年(６級),6級,小学5年
黄,漢字,N4 ,黄,11,コウ・オウ,き,adjective (color),小学2年(９級),9級,小学2年
乱,漢字,N2,乙,7,ラン,みだ（れる）,,小学6年(5級),5級,小学6年
乳,漢字,N2,乙,8,ニュウ,ちち,,小学6年(5級),5級,小学6年
九,漢字,N5 ,乙,2,キュウ・ク,ここの（つ）,numbers,小学1年 (１０級),10級,小学1年
乾,漢字,N2,乙,11,カン,かわ(く)・かわ(かす),,,,
乙,漢字,N1,乙,1,オツ・イツ,-,,,,
音,漢字,N4 ,音,9,オン・イン,おと,,小学1年 (１０級),10級,小学1年
韻,漢字,N1,音,19,イン,-,,,,
響,漢字,N1,音,20,キョウ,ひび(く),,,,
灰,漢字,N2,火,6,カイ,はい,,小学6年(5級),5級,小学6年
熟,漢字,N1,火,15,ジュク,う（れる）,,小学6年(5級),5級,小学6年
営,漢字,N2,火,12,エイ,いとな（む）,,小学5年(６級),6級,小学5年
燃,漢字,N2,火,16,ネン,も（える）,,小学5年(６級),6級,小学5年
災,漢字,N1,火,7,サイ,わざわい,,小学5年(６級),6級,小学5年
然,漢字,N3,火,12,ゼン・ネン,-,,小学4年(７級),7級,小学4年
熱,漢字,N3,火,15,ネツ,あつ（い）,,小学4年(７級),7級,小学4年
灯,漢字,N2,火,6,トウ,あか（り）,,小学4年(７級),7級,小学4年
無,漢字,N2,火,12,ム・ブ,な（し）・な（い）,,小学4年(７級),7級,小学4年
照,漢字,N2,火,13,ショウ,て（らす）・て（る）,,小学4年(７級),7級,小学4年
焼,漢字,N2,火,12,ショウ,や（く）・や（ける）,,小学4年(７級),7級,小学4年
熊,漢字,,火,14,-,くま,,小学4年(７級),7級,小学4年
炭,漢字,N2,火,9,タン,すみ,,小学3年(８級),8級,小学3年
点,漢字,N3,火,9,テン,つ(ける)・とも(す),,小学2年(９級),9級,小学2年
火,漢字,N5 ,火,4,カ,ひ・ほ,days & times,小学1年 (１０級),10級,小学1年
煙,漢字,N3,火,13,エン,けむり,,,,
燥,漢字,N2,火,16,ソウ,-,,,,
爆,漢字,N2,火,19,バク,-,,,,
炉,漢字,N1,火,8,ロ,いろり,,,,
炊,漢字,N1,火,8,スイ,た・く,,,,
炎,漢字,N1,火,8,エン,ほのお,,,,
烈,漢字,N1,火,10,レツ,はげ(しい),,,,
焦,漢字,N1,火,12,ショウ,こ(げる)・こ(がす)・こ(がれる)・あせ(る),,,,
煩,漢字,N1,火,13,ハン・ボン,わずら(う)・わずら(わす)　,,,,
煮,漢字,N1,火,12,シャ,に(る)・に(える),,,,
為,漢字,N1,火,9,イ,ため・な(る)・な(す),,,,
私,漢字,N5 ,禾,7,シ,わたし・わたくし,people & school,小学6年(5級),5級,小学6年
穀,漢字,N1,禾,14,コク,-,,小学6年(5級),5級,小学6年
程,漢字,N3,禾,12,テイ,ほど,,小学5年(６級),6級,小学5年
移,漢字,N2,禾,11,イ,うつ（す）・うつ（る）,,小学5年(６級),6級,小学5年
税,漢字,N2,禾,12,ゼイ,-,,小学5年(６級),6級,小学5年
種,漢字,N3,禾,14,シュ,たね,,小学4年(７級),7級,小学4年
積,漢字,N3,禾,16,セキ,つ（もる）・つ（む）,,小学4年(７級),7級,小学4年
秒,漢字,N2,禾,9,ビョウ,-,,小学3年(８級),8級,小学3年
秋,漢字,N4 ,禾,9,シュウ,あき,seasons,小学2年(９級),9級,小学2年
科,漢字,N3,禾,9,カ,-,,小学2年(９級),9級,小学2年
秀,漢字,N1,禾,7,シュウ,ひで,,,,
租,漢字,N1,禾,10,ソ,-,,,,
秩,漢字,N1,禾,10,チツ,-,,,,
称,漢字,N1,禾,10,ショウ,たた(える),,,,
稚,漢字,N1,禾,13,チ,いとけな(い),,,,
稲,漢字,N1,禾,14,トウ,いね・いな,,,,
稼,漢字,N1,禾,15,カ,かせ(ぐ),,,,
稿,漢字,N1,禾,15,コウ,-,,,,
穂,漢字,N1,禾,15,スイ,ほ,,,,
穏,漢字,N1,禾,16,オン,おだ(やか),,,,
穫,漢字,N1,禾,18,カク,か(る)　,,,,
貴,漢字,N1,貝,12,キ,とうと（い）・たっと（い）,,小学6年(5級),5級,小学6年
賃,漢字,N1,貝,13,チン,-,,小学6年(5級),5級,小学6年
貸,漢字,N4 ,貝,12,タイ,か（す）,verb,小学5年(６級),6級,小学5年
質,漢字,N4 ,貝,15,シツ・シチ,-,,小学5年(６級),6級,小学5年
財,漢字,N3,貝,10,ザイ・サイ,-,,小学5年(６級),6級,小学5年
貧,漢字,N3,貝,11,ヒン・ビン,まず（しい）,,小学5年(６級),6級,小学5年
責,漢字,N3,貝,11,セキ,せ（める）,,小学5年(６級),6級,小学5年
費,漢字,N3,貝,12,ヒ,つい（やす）,,小学5年(６級),6級,小学5年
資,漢字,N3,貝,13,シ,-,,小学5年(６級),6級,小学5年
賛,漢字,N3,貝,15,サン,-,,小学5年(６級),6級,小学5年
貯,漢字,N2,貝,12,チョ,た（める）,,小学5年(６級),6級,小学5年
貿,漢字,N2,貝,12,ボウ,-,,小学5年(６級),6級,小学5年
賞,漢字,N2,貝,15,ショウ,-,,小学5年(６級),6級,小学5年
賀,漢字,N1,貝,12,ガ,-,,小学4年(７級),7級,小学4年
貨,漢字,N2,貝,11,カ,-,,小学4年(7級),7級,小学4年
負,漢字,N3,貝,9,フ,ま（ける）,,小学3年(８級),8級,小学3年
買,漢字,N5 ,貝,12,バイ,か（う）,verb,小学2年(９級),9級,小学2年
売,漢字,N4 ,貝,7,バイ,う（る）・う（れる）,verb,小学2年(９級),9級,小学2年
貝,漢字,N2,貝,7,バイ,かい,,小学1年 (１０級),10級,小学1年
販,漢字,N2,貝,11,ハン,-,,,,
賢,漢字,N2,貝,16,ケン,かしこ(い),,,,
贈,漢字,N2,貝,18,ゾウ・ソウ,おく(る),,,,
貞,漢字,N1,貝,9,テイ,-,,,,
貢,漢字,N1,貝,10,コウ、ク,みつ(ぐ),,,,
貫,漢字,N1,貝,11,カン,つらぬ(く),,,,
賄,漢字,N1,貝,13,ワイ,まかな(う),,,,
賊,漢字,N1,貝,13,ゾク,-,,,,
賓,漢字,N1,貝,15,ヒン,-,,,,
賜,漢字,N1,貝,15,シ,たまわ(る),,,,
賠,漢字,N1,貝,15,バイ,-,,,,
賦,漢字,N1,貝,15,フ,-,,,,
購,漢字,N1,貝,17,コウ,-,,,,
解,漢字,N3,角,13,カイ・ゲ,と（く）,,小学5年(６級),6級,小学5年
角,漢字,N3,角,7,カク,かど・つの,,小学2年(９級),9級,小学2年
触,漢字,N2,角,13,ショク,ふ(れる),,,,
革,漢字,N2,革,8,カク,かわ・あらた（まる）,,小学6年(5級),5級,小学6年
靴,漢字,N3,革,13,カ,くつ,,,,
瓶,漢字,N2,瓦,11,ビン,-,,,,
干,漢字,N2,干,3,カン,ほ（す）・ひ（る）,,小学6年(5級),5級,小学6年
幹,漢字,N1,干,13,カン,みき,,小学5年(６級),6級,小学5年
平,漢字,N3,干,5,ヘイ・ビョウ,たいら,,小学3年(８級),8級,小学3年
幸,漢字,N3,干,8,コウ,しあわ（せ）・さいわ（い）,,小学3年(８級),8級,小学3年
年,漢字,N5 ,干,6,ネン,とし,days & times,小学1年 (１０級),10級,小学1年
甘,漢字,N2,甘,5,カン,あま(い)・あま(やかす),,,,
甚,漢字,N1,甘,9,ジン,はなは(だ),,,,
缶,漢字,N2,缶,6,カン,-,,,,
鬼,漢字,N1,鬼,10,キ,おに,,,,
魂,漢字,N1,鬼,14,コン,たましい・たま,,,,
魅,漢字,N1,鬼,15,ミ,-,,,,
魔,漢字,N1,鬼,21,マ,-,,,,
張,漢字,N1,弓,11,チョウ,は（る）,,小学5年(６級),6級,小学5年
強,漢字,N4 ,弓,11,キョウ・ゴウ,つよ（い）・し（いる）,adjective (),小学2年(９級),9級,小学2年
弱,漢字,N4 ,弓,10,ジャク,よわ（い）,adjective (),小学2年(９級),9級,小学2年
弟,漢字,N4 ,弓,7,ダイ,おとうと,people,小学2年(９級),9級,小学2年
引,漢字,N4 ,弓,4,イン,ひ（く）,verb,小学2年(９級),9級,小学2年
弓,漢字,N1,弓,3,キュウ,ゆみ,,小学2年(９級),9級,小学2年
弔,漢字,N1,弓,4,チョウ,とむら(う),,,,
弦,漢字,N1,弓,8,ゲン,つる,,,,
弧,漢字,N1,弓,9,コ,-,,,,
弾,漢字,N1,弓,12,ダン,ひ(く)・たま,,,,
特,漢字,N4 ,牛,10,トク,-,adjective (),小学4年(７級),7級,小学4年
牧,漢字,N1,牛,8,ボク,まき,,小学4年(７級),7級,小学4年
物,漢字,N4 ,牛,8,ブツ,もの,"Concepts, Society, Study & Abstract",小学3年(８級),8級,小学3年
牛,漢字,N5 ,牛,4,ギュウ,うし,animal,小学2年(９級),9級,小学2年
牲,漢字,N1,牛,9,セイ,-,,,,
犠,漢字,N1,牛,20,ギ,-,,,,
魚,漢字,N4 ,魚,11,ギョ,さかな,,小学2年(９級),9級,小学2年
鮮,漢字,N1,魚,17,セン,あざ(やか),,,,
鯨,漢字,N1,魚,19,ゲイ,くじら,,,,
班,漢字,N1,玉,10,ハン,-,,小学6年(5級),5級,小学6年
現,漢字,N3,玉,11,ゲン,あらわ（れる）,,小学5年(６級),6級,小学5年
球,漢字,N3,玉,11,キュウ,たま,,小学3年(８級),8級,小学3年
理,漢字,N4 ,玉,11,リ,ことわり,,小学2年(９級),9級,小学2年
王,漢字,N4 ,玉,4,オウ,-,,小学1年 (１０級),10級,小学1年
玉,漢字,N2,玉,5,ギョク,たま,,小学1年 (１０級),10級,小学1年
珍,漢字,N2,玉,10,チン,めずら(しい),,,,
珠,漢字,N1,玉,10,シュ,たま,,,,
琴,漢字,N1,玉,12,キン,こと,,,,
環,漢字,N1,玉,17,カン,わ,,,,
幕,漢字,N1,巾,13,マク・バク,-,,小学6年(5級),5級,小学6年
師,漢字,N3,巾,10,シ,-,,小学5年(６級),6級,小学5年
常,漢字,N3,巾,11,ジョウ,つね・とこ,,小学5年(６級),6級,小学5年
布,漢字,N2,巾,5,フ,ぬの,,小学5年(６級),6級,小学5年
席,漢字,N3,巾,10,セキ,-,,小学4年(７級),7級,小学4年
希,漢字,N2,巾,7,キ,-,,小学4年(７級),7級,小学4年
帯,漢字,N2,巾,10,タイ,おび,,小学4年(７級),7級,小学4年
帳,漢字,N1,巾,11,チョウ,-,,小学3年(８級),8級,小学3年
市,漢字,N4 ,巾,5,シ,いち,place,小学2年(９級),9級,小学2年
帰,漢字,N4 ,巾,10,キ,かえ（る）,verb,小学2年(９級),9級,小学2年
帽,漢字,N2,巾,12,ボウ,-,,,,
幅,漢字,N2,巾,12,フク,はば,,,,
帆,漢字,N1,巾,6,ハン,ほ,,,,
帝,漢字,N1,巾,9,テイ,みかど,,,,
帥,漢字,N1,巾,9,スイ,-,,,,
幣,漢字,N1,巾,15,ヘイ,ぜに・ぬさ,,,,
断,漢字,N3,斤,11,ダン,ことわ（る）,,小学5年(６級),6級,小学5年
新,漢字,N5 ,斤,13,シン,あたら（しい）・あら（た）,adjective (age),小学2年(９級),9級,小学2年
斤,漢字,N1,斤,4,キン,-,,,,
斥,漢字,N1,斤,5,セキ,しりぞ(ける),,,,
針,漢字,N2,金,10,シン,はり,,小学6年(5級),5級,小学6年
銭,漢字,N1,金,14,セン,ぜに,,小学6年(5級),5級,小学6年
鋼,漢字,N1,金,16,コウ,はがね,,小学6年(5級),5級,小学6年
鉱,漢字,N2,金,13,コウ,-,,小学5年(６級),6級,小学5年
銅,漢字,N2,金,14,ドウ,-,,小学5年(６級),6級,小学5年
録,漢字,N2,金,16,ロク,-,,小学4年(７級),7級,小学4年
鏡,漢字,N1,金,19,キョウ,かがみ,,小学4年(７級),7級,小学4年
銀,漢字,N4 ,金,14,ギン,-,,小学3年(８級),8級,小学3年
鉄,漢字,N2,金,13,テツ,-,,小学3年(８級),8級,小学3年
金,漢字,N5 ,金,8,キン・コン,かね・かな,days & times,小学1年 (１０級),10級,小学1年
鈍,漢字,N2,金,12,ドン,にぶ(い)・にぶ(る),,,,
鋭,漢字,N2,金,15,エイ,するど(い),,,,
釣,漢字,N1,金,11,チョウ,つ(る)・つ(り),,,,
鈴,漢字,N1,金,13,レイ、リン,すず,,,,
鉛,漢字,N1,金,13,エン,なまり,,,,
鉢,漢字,N1,金,13,ハチ、ハツ,-,,,,
銃,漢字,N1,金,14,ジュウ,-,,,,
銑,漢字,N1,金,14,セン,-,,,,
銘,漢字,N1,金,14,メイ,-,,,,
鋳,漢字,N1,金,15,チュウ,い(る) ,,,,
錘,漢字,N1,金,16,スイ,つむ・おもり,,,,
錠,漢字,N1,金,16,ジョウ,-,,,,
錬,漢字,N1,金,16,レン,ね(り) ・ね(る),,,,
錯,漢字,N1,金,16,サク,-,,,,
鍛,漢字,N1,金,17,タン,きた(える),,,,
鎖,漢字,N1,金,18,サ,くさり,,,,
鎮,漢字,N1,金,18,チン,しず(める) ・しず(まる),,,,
鐘,漢字,N1,金,20,ショウ,かね,,,,
鑑,漢字,N1,金,23,カン,かんが(みる) ,,,,
欲,漢字,N3,欠,11,ヨク,ほ（しい）,,小学6年(5級),5級,小学6年
欠,漢字,N3,欠,4,ケツ,か（ける）・か（く）,,小学4年(７級),7級,小学4年
次,漢字,N3,欠,6,ジ・シ,つぎ・つ（ぐ）,,小学3年(８級),8級,小学3年
歌,漢字,N4 ,欠,14,カ,うた・うた（う）,verb,小学2年(９級),9級,小学2年
欧,漢字,N2,欠,8,オウ,-,,,,
欺,漢字,N1,欠,12,ギ,あざむ(く),,,,
款,漢字,N1,欠,12,カン,-,,,,
歓,漢字,N1,欠,15,カン,よろこ(ぶ),,,,
窓,漢字,N3,穴,11,ソウ,まど,,小学6年(5級),5級,小学6年
穴,漢字,N1,穴,5,ケツ,あな,,小学6年(5級),5級,小学6年
究,漢字,N4 ,穴,7,キュウ,きわ（める）,,小学3年(８級),8級,小学3年
空,漢字,N5 ,穴,8,クウ,そら・あ（ける）・から,nature & weather,小学1年 (１０級),10級,小学1年
突,漢字,N3,穴,8,トツ,つ(く),,,,
窃,漢字,N1,穴,9,セツ,ぬす(む),,,,
窒,漢字,N1,穴,11,チツ,-,,,,
窮,漢字,N1,穴,15,キュウ,きわ(める)、きわ(まる),,,,
窯,漢字,N1,穴,15,ヨウ,かま,,,,
衆,漢字,N1,血,12,シュウ・シュ,-,,小学6年(5級),5級,小学6年
血,漢字,N2,血,6,ケツ,ち,,小学3年(８級),8級,小学3年
朗,漢字,N1,月,10,ロウ,-,,小学6年(5級),5級,小学6年
望,漢字,N3,月,11,ボウ,のぞ（む）,,小学4年(７級),7級,小学4年
服,漢字,N4 ,月,8,-,ふく,Goods,小学3年(８級),8級,小学3年
有,漢字,N4 ,月,6,ユウ,あ（る）,,小学3年(８級),8級,小学3年
期,漢字,N3,月,12,キ・ゴ,-,,小学3年(８級),8級,小学3年
朝,漢字,N4 ,月,12,チョウ,あさ,days & times,小学2年(９級),9級,小学2年
月,漢字,N5 ,月,4,ゲツ・ガツ,つき,days & times,小学1年 (１０級),10級,小学1年
朕,漢字,N1,月,10,チン,-,,,,
犯,漢字,N3,犬,5,ハン,おか（す）,,小学5年(６級),6級,小学5年
状,漢字,N3,犬,7,ジョウ,-,,小学5年(６級),6級,小学5年
独,漢字,N1,犬,9,ドク,ひと（り）,,小学5年(６級),6級,小学5年
犬,漢字,N4 ,犬,4,ケン,いぬ,animal,小学1年 (１０級),10級,小学1年
猫,漢字,N3,犬,11,ビョウ,ねこ,,,,
狂,漢字,N1,犬,7,キョウ,くる(う)・くる(おしい),,,,
狩,漢字,N1,犬,9,シュ,か(る)・かり,,,,
狭,漢字,N1,犬,9,キョウ,せま(い)・せば(める)・せば(まる),,,,
猛,漢字,N1,犬,11,モウ,-,,,,
猟,漢字,N1,犬,11,リョウ,-,,,,
献,漢字,N1,犬,13,ケン、コン,-,,,,
猶,漢字,N1,犬,12,ユウ,なお,,,,
猿,漢字,N1,犬,13,エン,さる,,,,
獄,漢字,N1,犬,14,ゴク,-,,,,
獣,漢字,N1,犬,16,ジュウ,けもの,,,,
獲,漢字,N1,犬,16,カク,え(る),,,,
視,漢字,N1,見,11,シ,み(る),,小学6年(5級),5級,小学6年
覧,漢字,N1,見,17,ラン,み(る),,小学6年(5級),5級,小学6年
規,漢字,N3,見,11,キ,-,,小学5年(６級),6級,小学5年
覚,漢字,N3,見,12,カク,おぼ（える）・さ（める）,,小学4年(７級),7級,小学4年
観,漢字,N3,見,18,カン,-,,小学4年(７級),7級,小学4年
親,漢字,N5 ,見,16,シン,おや・した（しい）,people,小学2年(９級),9級,小学2年
見,漢字,N5 ,見,7,ケン,み（る）・み（える）,people & school,小学1年 (１０級),10級,小学1年
率,漢字,N1,玄,11,ソツ・リツ,ひき（いる）,,小学5年(６級),6級,小学5年
玄,漢字,N1,玄,5,ゲン,-,,,,
訪,漢字,N3,言,11,ホウ,おとず（れる）・たず（ねる）,,小学6年(5級),5級,小学6年
認,漢字,N3,言,14,ニン,みとめ（る）,,小学6年(5級),5級,小学6年
誤,漢字,N3,言,14,ゴ,あやま（る）,,小学6年(5級),5級,小学6年
論,漢字,N3,言,15,ロン,-,,小学6年(5級),5級,小学6年
警,漢字,N3,言,19,ケイ,-,,小学6年(5級),5級,小学6年
詞,漢字,N2,言,12,シ,-,,小学6年(5級),5級,小学6年
誌,漢字,N2,言,14,シ,-,,小学6年(5級),5級,小学6年
諸,漢字,N2,言,15,ショ,もろ,,小学6年(5級),5級,小学6年
討,漢字,N1,言,10,トウ,う（つ）,,小学6年(5級),5級,小学6年
訳,漢字,N1,言,11,ヤク,わけ,,小学6年(5級),5級,小学6年
誕,漢字,N1,言,15,タン,-,,小学6年(5級),5級,小学6年
誠,漢字,N1,言,13,セイ,まこと,,小学6年(5級),5級,小学6年
識,漢字,N3,言,19,シキ,-,,小学5年(６級),6級,小学5年
許,漢字,N3,言,11,キョ,ゆる（す）,,小学5年(６級),6級,小学5年
設,漢字,N2,言,11,セツ,もう（ける）・しつら（える）,,小学5年(６級),6級,小学5年
講,漢字,N2,言,17,コウ,こう,,小学5年(６級),6級,小学5年
証,漢字,N1,言,12,ショウ,あかし,,小学5年(６級),6級,小学5年
評,漢字,N1,言,12,ヒョウ,-,,小学5年(６級),6級,小学5年
謝,漢字,N1,言,17,シャ,あやま（る）,,小学5年(６級),6級,小学5年
護,漢字,,言,20,ゴ,-,,小学5年(６級),6級,小学5年
試,漢字,N4 ,言,13,シ,こころ（みる）,verb,小学4年(７級),7級,小学4年
説,漢字,N4 ,言,14,セツ,と（く）,,小学4年(７級),7級,小学4年
議,漢字,N3,言,20,ギ,-,,小学4年(７級),7級,小学4年
訓,漢字,N2,言,10,クン,-,,小学4年(７級),7級,小学4年
課,漢字,N2,言,15,カ,-,,小学4年(７級),7級,小学4年
調,漢字,N3,言,15,チョウ,しら（べる）・ととの（う）,,小学3年(８級),8級,小学3年
談,漢字,N3,言,15,ダン,-,,小学3年(８級),8級,小学3年
詩,漢字,N1,言,13,シ,-,,小学3年(８級),8級,小学3年
読,漢字,N5 ,言,14,ドク・トウ・トク,よ（む）,people & school,小学2年(９級),9級,小学2年
話,漢字,N5 ,言,13,ワ,はな（す）・はなし,people & school,小学2年(９級),9級,小学2年
語,漢字,N5 ,言,14,ゴ,かた（る）,people & school,小学2年(９級),9級,小学2年
言,漢字,N4 ,言,7,ゲン・ゴン,い（う）・こと,verb,小学2年(９級),9級,小学2年
計,漢字,N4 ,言,9,ケイ,はか（る）,verb,小学2年(９級),9級,小学2年
記,漢字,N3,言,10,キ,しる（す）,,小学2年(９級),9級,小学2年
詰,漢字,N2,言,13,キツ,つ(める)・つ(まる),,,,
訂,漢字,N1,言,9,テイ,-,,,,
託,漢字,N1,言,10,タク,かこつ(ける),,,,
訟,漢字,N1,言,11,ショウ,-,,,,
訴,漢字,N1,言,12,ソ,うった(える),,,,
診,漢字,N1,言,12,シン,み(る),,,,
詐,漢字,N1,言,12,サ,いつわ(る),,,,
詔,漢字,N1,言,12,ショウ,みことのり,,,,
詠,漢字,N1,言,12,エイ,よ(む),,,,
該,漢字,N1,言,13,ガイ,-,,,,
詳,漢字,N1,言,13,ショウ,くわ(しい),,,,
誇,漢字,N1,言,13,コ,ほこ(る),,,,
誉,漢字,N1,言,13,ヨ,ほまれ,,,,
誓,漢字,N1,言,14,セイ,ちか(う),,,,
誘,漢字,N1,言,14,ユウ,-,,,,
請,漢字,N1,言,15,セイ・シン,う(ける),,,,
諭,漢字,N1,言,16,ユ,さと(す),,,,
諮,漢字,N1,言,16,シ,-,,,,
諾,漢字,N1,言,15,ダク,-,,,,
謀,漢字,N1,言,16,ボウ、ム,はか(る),,,,
謁,漢字,N1,言,15,エツ,-,,,,
謄,漢字,N1,言,17,トウ,-,,,,
謙,漢字,N1,言,17,ケン,へりくだ(る),,,,
謡,漢字,N1,言,16,ヨウ,うた・うた(う),,,,
謹,漢字,N1,言,18,キン,つつつ(しむ),,,,
譜,漢字,N1,言,19,フ,-,,,,
譲,漢字,N1,言,20,ジョウ,ゆず(る),,,,
己,漢字,N1,己,3,コ・キ,おのれ,,小学6年(5級),5級,小学6年
所,漢字,N4 ,戸,8,ショ,ところ,place,小学3年(８級),8級,小学3年
戸,漢字,N2,戸,4,コ,と,,小学2年(９級),9級,小学2年
戻,漢字,N3,戸,7,レイ,もど(る)・もど(す),,,,
房,漢字,N1,戸,8,ボウ,ふさ,,,,
扇,漢字,N1,戸,10,セン,おうぎ・あお(ぐ),,,,
扉,漢字,N1,戸,12,ヒ,とびら,,,,
鼓,漢字,N1,鼓,13,コ,つづみ,,,,
否,漢字,N3,口,7,ヒ,いな,verb,小学6年(5級),5級,小学6年
吸,漢字,N3,口,6,キュウ,す（う）,verb,小学6年(5級),5級,小学6年
呼,漢字,N3,口,8,コ,よ（ぶ）,verb,小学6年(5級),5級,小学6年
后,漢字,N1,口,6,ゴウ・ゴ,きさき,,小学6年(5級),5級,小学6年
善,漢字,N1,口,12,ゼン,よ（い）,,小学6年(5級),5級,小学6年
告,漢字,N3,口,7,コク,つ（げる）,verb,小学5年(６級),6級,小学5年
史,漢字,N2,口,5,シ,-,,小学5年(６級),6級,小学5年
可,漢字,N3,口,5,カ,-,,小学5年(６級),6級,小学5年
喜,漢字,N3,口,12,キ,よろこ（び）,,小学5年(６級),6級,小学5年
句,漢字,N1,口,5,ク,-,,小学5年(６級),6級,小学5年
各,漢字,N2,口,6,カク,-,,小学4年(７級),7級,小学4年
周,漢字,N2,口,8,シュウ,まわ（り）,,小学4年(７級),7級,小学4年
司,漢字,N1,口,5,シ,つかさ（どる）,,小学4年(７級),7級,小学4年
唱,漢字,N1,口,11,ショウ,とな（える）,,小学4年(７級),7級,小学4年
器,漢字,N1,口,15,キ,うつわ,,小学4年(７級),7級,小学4年
員,漢字,N4 ,口,10,イン,-,people,小学3年(８級),8級,小学3年
向,漢字,N3,口,6,コウ,む（かう）・む（く）,verb,小学3年(８級),8級,小学3年
命,漢字,N3,口,8,メイ,いのち,verb,小学3年(８級),8級,小学3年
味,漢字,N4 ,口,8,ミ,あじ,,小学3年(８級),8級,小学3年
品,漢字,N4 ,口,9,ヒン,しな,,小学3年(８級),8級,小学3年
問,漢字,N4 ,口,11,モン,と（う）,,小学3年(８級),8級,小学3年
和,漢字,N3,口,8,ワ,かず,,小学3年(８級),8級,小学3年
